"Venue","Review Rating","Sentence","ContextIndependence","FactoidType"
,,"It just tasted like hot milk even though there was so much powder in it and I definitely stirred it well.",FALSE,"(none)"
,,"I think the powder they use may not be the best.",FALSE,"fact :: practical :: alert"
,,"12 Corners is a fantastic coffee shop.",TRUE,"judgement :: positive"
,,"Right across from where I was staying at, every morning I had to get a great cup of coffee.",FALSE,"judgement :: positive"
,,"Staff was friendly, very laid back, and free wifi.",TRUE,"judgement :: positive"
,,"I highly recommend the green tea latte, the pumpkin pie latte, and the almond croissant.",FALSE,"fact :: practical :: advice"
,,"All delicious.",FALSE,"judgement :: positive"
,,"I really liked the small library of books available to read too.",FALSE,"(none)"
,,"I'm looking forward to coming back and hopefully making this place my permanent stop upon my move up to NYC.",FALSE,"(none)"
,,"I love this place.",FALSE,"judgement :: positive"
,,"This is a real gem.",TRUE,"judgement :: positive"
,,"The art on the latte is amazingly cool, staffs are friendly and I'm falling in love with their Soy Chai Latte.",TRUE,"judgement :: positive"
,,"Seriously it's like I've never drunk anything as good!!",FALSE,"(none)"
,,"Love love love the experience.",FALSE,"judgement :: positive"
"#Zucker Bakery",0.80,"Small shop, free wifi, great place to grab a coffee, squeeze yourself into a spot and get some work done.",TRUE,"fact :: practical"
,,"The staff here is TERRIFIC.",TRUE,"judgement :: positive"
,,"I've spent countless hours doing work here and I've seen them deal with many types of customers before and they are just absolutely friendly, patient, and understanding.",FALSE,"judgement :: positive"
,,"One particular moment that stood out to me was a time when a non-English speaker came into the shop and could not find his way to the milk station despite it being 3 ft behind him.",FALSE,"(none)"
,,"He was loud and repeatedly asked where the milk station was along with all these questions, and customers sitting in the shop was basically staring at him with judgement.",FALSE,"(none)"
"#Zucker Bakery",0.40,"While I feel most baristas would get annoyed and judge the customer, I watched the staff at 12 Corners patiently walk the customer over to the milk station, help him with what he needed, and answered all his questions in friendliest way.",FALSE,"(none)"
,,"It just made me really happy to see what great people they are.",FALSE,"(none)"
,,"I highly, highly recommend this place and will continue to come back often!",FALSE,"fact :: practical :: advice"
,,"The coffee here is great.",TRUE,"judgement :: positive"
,,"I just noticed I'm starting to become a regular.",FALSE,"(none)"
,,"Also their internet is great and it's a perfect environment for working.",FALSE,"fact :: practical"
,,"Hands-down they are nicest people ever, rivaling Zappos in their customer service.",FALSE,"judgement :: positive"
,,"Really great coffee place with friendly staff.",TRUE,"judgement :: positive"
"#Zucker Bakery",0.80,"Theres a free wifi, password on the blackboard.",TRUE,"fact :: practical"
,,"There are maybe 20 seats, but could easy fit a few more tables.",TRUE,"fact :: practical"
"#Zucker Bakery",0.40,"If you want to get away from the chains and try a good cappuccino for example, GO GO GO!!!",FALSE,"judgement :: positive"
,,"Come here for:",FALSE,"(none)"
,,"coffee (yummy latte)",FALSE,"(none)"
,,"wifi",FALSE,"(none)"
,,"outlets!",FALSE,"(none)"
,,"people watching (window seats)",FALSE,"(none)"
,,"real books on the shelves for you to read (should probably just bring your own, though)",FALSE,"(none)"
,,"Atmosphere is fantastic.",TRUE,"judgement :: positive"
,,"There are books for your leisure.",TRUE,"fact :: practical"
,,"The unassuming sign kind of deterred me at first, but after hearing a friend rave about this place, I decided to try it out and I love it.",FALSE,"(none)"
,,"I now prefer this over the other two other hipster coffee shops in the area.",FALSE,"(none)"
,,"Uses the Belly app for rewards, as opposed to the standard buy-10-get-one-free cards.",TRUE,"fact :: practical"
,,"I find it refreshing that they use a new technological approach, when they could so easily have gone the generic route.",FALSE,"(none)"
,,"The coffee is strong and pleasant; room for milk, please.",TRUE,"judgement :: positive"
,,"Service so efficient and friendly that you can barely tell you're in Chinatown, albeit the edge.",TRUE,"judgement :: positive"
,,"Other establishments haven't had much success in this space over the years, so hopefully these guys are here to stay.",FALSE,"(none)"
,,"Do not come here and make excessive noise, or I will kick you.",FALSE,"(none)"
,,"Just what I needed to get thru the day, the guy behind the counter was very helpful and their lattes are made just right.",FALSE,"judgement :: positive"
,,"If your on the outskirts of Chinatown then I highly recommend this place for coffee.",FALSE,"fact :: practical :: advice"
"#Zucker Bakery",0.20,"We were gonna go to our fav donut planet spot but they were closed today!",FALSE,"(none)"
,,"Glad we found this place tho!",FALSE,"(none)"
,,"This coffee shop has been a great addition to the lower east side.",TRUE,"judgement :: positive"
,,"Dunkin' donuts is down the block from me but when I crave a cup of coffee, I walk the additional two blocks to 12 corners.",FALSE,"(none)"
,,"Why?",FALSE,"(none)"
,,"Because I know I'll receive consistent service & product.",FALSE,"(none)"
,,"The staff is friendly, especially the young woman who I believe is one of the owners.",FALSE,"judgement :: positive"
,,"She is always smiling when I come in & is always willing to ensure that my drink is made to my liking; if I need an additional pump of flavoring for extra sweetness or more espresso to give me an additional ""pick me up"" before class.",FALSE,"(none)"
,,"I usually get the Chai Latte or the Pumpkin Spice Latte, both are good iced or hot.",FALSE,"(none)"
,,"But yesterday I decided to have the Dirty Chai, which is now one of my favorite drinks.",FALSE,"(none)"
,,"In the past, I hesitated on the concept of chai tea & coffee but I ended up enjoying it.",FALSE,"(none)"
,,"There was a good balance between the sweetness of the chai spices & the espresso.",FALSE,"(none)"
,,"The shop offers free wi-fi & have added additional seating behind the espresso bar for those who want to surf the web or read the paper before work or on a break.",TRUE,"fact :: practical"
"#Zucker Bakery",0.80,"I usually make coffee at home but when I am on the go, I ensure to make a stop at 12 corners for my coffee fix.",FALSE,"(none)"
,,"Loved it here.",FALSE,"(none)"
,,"High chairs are a bit uncomfortable though they are cute.",TRUE,"judgement :: negative"
,,"Enough outlets to get work done on the high stool area by the wall, but the couch/low-table area has outlets that are inaccessible to most.",TRUE,"fact :: practical"
,,"GREAT coffee.",TRUE,"judgement :: positive"
,,"For whoever is in the area and wants good coffee for a very reasonable price, come here!",TRUE,"fact :: practical :: advice"
"#Zucker Bakery",1.00,"Although it is in Chinatown, don't be fooled.",FALSE,"(none)"
,,"Their baristas are very friendly.",TRUE,"judgement :: positive"
,,"Loved it here.",FALSE,"(none)"
"#Zucker Bakery",0.80,"Walking down East Broadway, it appears highly unlikely that one could ever stumble upon a stereotypical, hipster, American coffee shop.",FALSE,"fact :: practical"
,,"I was stunned when we finally reached the chalkboard outside and entered this small but roomy space.",FALSE,"(none)"
,,"Amid all the fish markets knick-knack stores exists this absolutely charming coffee shop with a phenomenal menu, free wifi, a decent amount of seating, and possibly the BEST soy latte I have ever tasted.",TRUE,"judgement :: positive"
,,"I highly recommend this place to anyone who lives or works in the area.",TRUE,"fact :: practical :: advice"
,,"After debating between four and five stars for a while, I decided it was worthy of five.",FALSE,"(none)"
"#Zucker Bakery",0.20,"The service is so friendly and the baristas remembered us already by the time we came for our second visit.",FALSE,"judgement :: positive"
,,"Of course there are a couple cons, but this just such a gem hidden in the stank of Chinatown.",TRUE,"judgement :: positive"
,,"Show your teacher ID to receive 15% off your total!",TRUE,"fact :: practical :: advice"
,,"one word for thia place: fabulous. and very low key its good for hanging out with friends or grab a coffee by yourself.",TRUE,"judgement :: positive"
,,"One thing I like this place is that very close by and the price is reasonable also like thier bagels.",FALSE,"judgement :: positive"
,,"i usually go to this place several times a week. anway you should go",FALSE,"(none)"
,,"Order a hot latte here and the leaf design on it was really cute.",TRUE,"fact :: practical :: advice"
,,"I'm surprised they have customers that would come over for coffee.",FALSE,"(none)"
"#Zucker Bakery",0.80,"This place is strictly almost surrounded by cheaper coffees across the street for 80 cents or $1.",FALSE,"(none)"
,,"They have free wifi and a cozy feeling inside.",TRUE,"judgement :: positive"
,,"Service was a bit slow not sure if it was because she was there alone and there was a line!",FALSE,"(none)"
,,"Really good coffee!",TRUE,"judgement :: positive"
,,"I found this place thru Yelp and I'm glad I did because it's located right off the subway.",FALSE,"fact :: practical"
,,"They make really good cappuccinos and their croissants are fresh and yummy.",TRUE,"judgement :: positive"
,,"The staff are also very friendly.",FALSE,"judgement :: positive"
,,"Not only is the food delicious and the caffeine fantastic, but what sets this place apart is the service.",TRUE,"fact :: practical"
"#Zucker Bakery",0.60,"They went above and beyond to take care of me.",FALSE,"(none)"
,,"They even donated a book to my classroom!",FALSE,"(none)"
,,"This place is a gem in this city.",TRUE,"judgement :: positive"
,,"I cannot recommend it enough.",FALSE,"judgement :: positive"
,,"And the chocolate banana bread is to die for!",FALSE,"judgement :: positive"
,,"NO MORE ICE CREAM TUMMY ACHES",FALSE,"(none)"
,,"This cashew based vegan ice cream makes you feel so good- not just because it tastes so delicious but because it is made with natural wholesome ingredients (and definitely lots of love- the owner is one of the loveliest people you could meet).",TRUE,"judgement :: positive"
,,"Cow milk gives me horrible indigestion and I have tried pretty much every other non-diary ice cream out there to no avail- this place not only gets the taste and flavors down but the texture is perfect too (very impressive).",FALSE,"(none)"
,,"HAPPILY ADDICTED :)",FALSE,"(none)"
,,"Disappointed...and I haven't even eaten anything from here yet!",FALSE,"judgement :: negative"
"#Zucker Bakery",0.60,"Its a little annoying to get to, and you could easily walk right past it due to the scaffolding (which I almost did).",FALSE,"(none)"
,,"The place is tiny - with limited seating and a bench outside.",TRUE,"fact :: practical"
,,"I assume they make their ice cream in house, and I've been dying to try a dairy-free mint chip ice cream.",FALSE,"fact :: practical"
,,"They're open late (3:00-11:30PM) and only on Thursday-Sunday which is very inconvenient.",TRUE,"fact :: practical"
,,"Despite all of this, I had major craving, and I was determined to try it out today.",FALSE,"(none)"
,,"Again, this place is tiny and only had 2 people working behind the counter.",FALSE,"(none)"
,,"Apparantly, 1 hour before closing is a busy time (I had at least 4 people in front of me, then this chick allows her 2 friends to cut the line - WTF?!",FALSE,"(none)"
,,"Really?).",FALSE,"(none)"
"#Zucker Bakery",0.80,"The counter girls were swamped, but were moving so slow!",FALSE,"(none)"
,,"After 5 minutes, I sadly had to walk away.",FALSE,"(none)"
,,"I will definitely come back here, but never that late again.",FALSE,"(none)"
,,"Such delicious vegan ice cream!",TRUE,"judgement :: positive"
,,"Not overly sweet like many ""vegan"" treats.",TRUE,"judgement :: positive"
"#Zucker Bakery",1.00,"I had the coconut chip, which was better than the real thing!",FALSE,"judgement :: positive"
,,"My friend had the strawberry, which was also very good.",FALSE,"(none)"
"#Native Bean",1.00,"The service is also impeccable!",FALSE,"judgement :: positive"
,,"The owner is very friendly and offers multiple tastes to help you decide on a flavor.",TRUE,"judgement :: positive"
,,"I also love the music and friendly smiles of the staff!",FALSE,"(none)"
,,"Must try in alpha city!!",FALSE,"(none)"
,,"Stumbled across Lula's last week and poked my head in bcos curious.",FALSE,"(none)"
,,"Charming decor and just about the most genuine service one can hope to come across in this city.",TRUE,"judgement :: positive"
,,"We had a brownie sundae to stay (air conditioning inside or hot and muggy outside hmm..) and it was absolutely phenomenal.",FALSE,"fact :: practical"
,,"The storefront is kind of hidden so I'll make sure to give my friends clear and concise directions when I recommend this spot.",TRUE,"fact :: practical"
,,"I'll be back very soon!",FALSE,"(none)"
,,"Incredible ice cream, the best vegan stuff I've ever had!",TRUE,"judgement :: positive"
,,"My husband is coeliac so every vegan ice cream shop/bakery/health food store we come across is duly sampled and judged.",FALSE,"(none)"
,,"This one leaves them all in the dust.",FALSE,"(none)"
,,"Most of the ice creams are cashew-based, rather than coconut, which makes a BIG difference.",TRUE,"fact :: practical :: alert"
,,"Coconut is great, there's nothing wrong with it, but it does tend to make every flavor taste of coconut.",FALSE,"(none)"
,,"Cashew is such a mild flavor and has a creamy texture to start with, it's an ideal base because you simply don't taste it.",FALSE,"(none)"
,,"Many vegan sauces are made with cashew for this reason.",FALSE,"(none)"
,,"Anyway, I digress.",FALSE,"(none)"
,,"We had a gluten-free brownie sundae with a scoop of banana and one of chocolate chip, topped with coconut whipped cream, vegan caramel sauce and candied pecans.",FALSE,"fact :: practical"
,,"OMG.",FALSE,"(none)"
,,"There are not enough adjectives in this English language to describe the experience.",FALSE,"(none)"
,,"The chocolate chip especially was...was...was (see, I'm already struggling!)",FALSE,"(none)"
"#Native Bean",1.00,"SOOO good (I know - pitiful) - the heavens parted as golden light descended and the angelic chorus rose to a feverish pitch as mouthful followed mouthful in sheer, uninhibited, slightly orgasmic, otherworldly bliss.",FALSE,"judgement :: positive"
,,"And that's putting it mildly.",FALSE,"(none)"
,,"Okay, I give up.",FALSE,"(none)"
"#Native Bean",1.00,"There aren't enough words.",FALSE,"(none)"
,,"Just go.",FALSE,"(none)"
,,"Get a double scoop of anything.",FALSE,"(none)"
,,"Your world will never be the same again.",FALSE,"(none)"
,,"The best vegan ice cream I've ever had.",FALSE,"judgement :: positive"
,,"The cashew milk base that they use for most of the flavors is far superior to most coconut and soy-based vegan ice cream.",FALSE,"fact :: practical"
,,"It results in a rich and creamy consistency that lets the actual flavor of the ice cream (as opposed to the taste of coconut or the sweetness of soy) stand front and center.",FALSE,"(none)"
,,"It's also great for vegans with soy allergies who have a hard time finding non-soy-based desserts.",TRUE,"fact :: practical :: advice"
"#Native Bean",1.00,"The one thing that I'm not a fan of is the Cake Batter soft serve.",FALSE,"(none)"
,,"Maybe it was a bad batch the one time I had it, but it tasted like Play-Doh.",FALSE,"(none)"
,,"Splurge on a brownie sundae, and make sure you get the awesomely gooey marshmallow cream as one of the toppings.",TRUE,"fact :: practical :: advice"
,,"My vegan friend introduced me to this little gem a few years ago and I always stop by for a cone when I'm in the neighborhood.",FALSE,"(none)"
,,"I was saddened when Lula's closed last year and have been getting my fix at Sustainable NYC (a few min walk away) but they are up and running again (although they are currently only open on Thur, Fri, Sat, and Sun).",FALSE,"(none)"
,,"I am extremely impressed with the ice cream here - even though the ice cream is ""vegan,"" it certainly doesn't taste like it!",TRUE,"judgement :: positive"
,,"Most of their flavors are cashew based and taste creamy and delicious!",TRUE,"fact :: practical"
,,"There are a few flavors that are soy based but are marked clearly for those who want to avoid soy.",TRUE,"fact :: practical :: alert"
"#Native Bean",0.40,"The flavors seem to change daily but they allow you to sample as many flavors as you'd like before you order and I have discovered many new favorites that I would never have ordered based on name alone.",FALSE,"(none)"
,,"I highly recommend the pistachio, peanut butter chip, and strawberry.",FALSE,"fact :: practical :: advice"
,,"Definitely give this place a try if you're in the neighborhood and remember to bring cash!",TRUE,"fact :: practical :: alert"
,,"It's so good I didn't know it was vegan.",FALSE,"(none)"
,,"I used to eat dairy ice cream all the time, and since I found out I was allergic, I have been trying to eat substitutes for years.",FALSE,"(none)"
,,"Lula's ice cream was the first time it tasted like the real thing!",TRUE,"judgement :: positive"
,,"Imagine a Dairy Queen, with pints to take home, shakes, blizzards, but all real ingredients, not chemicals and dyes.",TRUE,"fact :: practical"
,,"Make the trip.",FALSE,"(none)"
,,"You'll be shocked at how great the soft serve and hard ice cream is.",TRUE,"judgement :: positive"
,,"delicious, better than I could ever have imagined, the staff is great as well.",FALSE,"judgement :: positive"
"#Native Bean",0.60,"I will be back again.",FALSE,"(none)"
,,"1 sentence.... better than real ice cream.",TRUE,"judgement :: positive"
,,"This place is adorable!",TRUE,"judgement :: positive"
,,"From the antique vibe to the music inside and the super friendly gals that make your tasty concoctions.",TRUE,"fact :: practical"
,,"I really wanted to love my Native Bean experience - the employees were very friendly, the music was the perfect volume as not to cause any sort of disturbances, and the African-inspired knick-knacks adorning the walls made for a very hospitable atmosphere.",FALSE,"(none)"
,,"Everything is impeccable!",FALSE,"(none)"
,,"My favorite ice cream flavors are the chocolate, peanut butter cookie and the strawberry.",FALSE,"judgement :: positive"
,,"Order the brownie Sunday, with the hot chocolate sauce, vegan marshmallow and coconut whipping cream!",TRUE,"fact :: practical :: advice"
,,"Lula's quickly turned into a tradition!",TRUE,"fact :: trivia"
,,"A weekend in NY will never taste like a weekend without getting my fix there!",FALSE,"(none)"
,,"Cash only.",TRUE,"fact :: practical :: alert"
,,"Lulu's has the most amazing ice cream ever!!!",TRUE,"judgement :: positive"
,,"I love that they use cashew milk as their base, it provides for a much sweeter flavor than soy or rice milk!",FALSE,"judgement :: positive"
,,"They have tons of great toppings and flavors, I personally am a big fan of their coffee ice cream with almonds and chocolate.",FALSE,"judgement :: positive"
,,"Whether you get a scoop or a milkshake prepare to be impressed.",TRUE,"judgement :: positive"
"#Native Bean",0.80,"They have go max go bars here!",FALSE,"(none)"
,,"I bought one of each and ate all of them right after eating 3 cones - coffee, my usual, chocolate mint and pistachio.",FALSE,"(none)"
,,"There were more chocolate options but it's quite pricey and they only take cash. =[ My total came out to be $40.",FALSE,"fact :: practical :: alert"
,,"Next up is the fakin' bacon chocolate bar!!",FALSE,"(none)"
,,"Yum yum.",FALSE,"(none)"
,,"More cardio...",FALSE,"(none)"
,,"FYI - if you never tried real pistachio and chocolate mint ice cream...this is the place!",TRUE,"fact :: practical :: advice"
,,"Not the fake green ones...",FALSE,"(none)"
,,"I sampled the new flavors - black licorice, peanut butter crunch, vanilla with brownies and raspberry swirl, all very interesting but a tad too strong in taste.",FALSE,"fact :: practical"
,,"I LOVE THIS PLACE.",FALSE,"judgement :: positive"
,,"The only negative is the amount of days they are open!",TRUE,"judgement :: negative"
,,"Who is going to satisfy my cravings the rest of the week?!",FALSE,"(none)"
,,"BTW - get your stamp cards!",FALSE,"(none)"
,,"I LOVE THIS PLACE.",FALSE,"judgement :: positive"
"#Native Bean",0.80,"Amazing delicious dessert!",TRUE,"judgement :: positive"
,,"We tried several flavors, loved them all.",FALSE,"(none)"
,,"As she said when we started trying, it only makes the choosing that much harder.",FALSE,"(none)"
,,"Delicious and we will be back!",FALSE,"judgement :: positive"
,,"Small little place that's somewhat hidden - you wouldnt know it existed when it's closed.",TRUE,"fact :: practical"
,,"People were very friendly and really advised me to try as much flavors as I wanted.",TRUE,"judgement :: positive"
,,"The peanut butter is a solid recommendation.",TRUE,"fact :: practical :: advice"
,,"Very smooth texture.",FALSE,"(none)"
,,"The vegan ice cream is a little less creamy and a bit more 'gooey' than a traditional ice cream, but it is very good.",FALSE,"fact :: practical"
,,"Would try again if I were in the area.",FALSE,"(none)"
,,"Best Ice Cream Around!",TRUE,"judgement :: positive"
"#Native Bean",0.80,"The cake batter is my favorite.",FALSE,"judgement :: positive"
,,"My boyfriend still isn't convinced it's vegan.",FALSE,"(none)"
,,"So glad this place is back in action.",FALSE,"(none)"
,,"It is hands-down the greatest vegan ice cream I've ever put in my mouth.",TRUE,"judgement :: positive"
"#Native Bean",0.80,"Cashew-based for life.",FALSE,"(none)"
,,"Once upon a time, I was supposed to meet a guy at Drom to go to a show which was also a second date.",FALSE,"(none)"
"#Native Bean",1.00,"He stood me up.",FALSE,"(none)"
,,"I walked a few blocks and a delicious vegan ice cream cone from Lula's made everything in the world right again.",FALSE,"(none)"
,,"Place is nice, atmosphere is good.",TRUE,"fact :: practical"
,,"There are wide selection of good ice creams that my kids love.",TRUE,"fact :: practical"
,,"As for me though, they were good but just an average one for me.",FALSE,"(none)"
,,"Good thing about it is that its vegan.",FALSE,"judgement :: positive"
,,"Not sure if my review counts since I am not a vegan but whatevs.",FALSE,"(none)"
,,"So I found this place on Yelp since my friends and I were looking for ice cream in the East Village.",FALSE,"(none)"
,,"Since it was my first time having vegan ice cream, I wasn't sure what to expect.",FALSE,"(none)"
"#Native Bean",1.00,"The flavors look pretty ""normal.""",TRUE,"fact :: practical"
,,"I felt the texture was off, it also felt like it left a weird chalky/cakey after taste.",FALSE,"judgement :: negative"
,,"With regular ice cream, I love drinking water right after, I just feel the water tastes good after the ice cream.",FALSE,"(none)"
,,"The vegan variety and the water did not mix well at alllll....",FALSE,"(none)"
,,"The food:",FALSE,"(none)"
,,"Peanut Butter & Jelly- the flavor was OK, it had a pretty pronounced PB flavor but the bits of jelly weren't very noticeable.",FALSE,"judgement"
,,"The ice cream was sweeter than what I was expecting, but the sweet wasn't a regular sweet.",FALSE,"(none)"
,,"Cookies & Cream- this is usually one of my fav flavors but I was not a fan of the vegan variety.",FALSE,"fact :: practical"
,,"The ""cookie"" aspect was pretty off for me.",FALSE,"(none)"
,,"It taste like dry cake chunks.",FALSE,"(none)"
,,"And the texture of the ice cream wasn't very appeal, it felt slightly grainy.",FALSE,"judgement :: negative"
,,"Banana Walnut- another flavor that sounds like a home run.",TRUE,"judgement :: positive"
,,"This ice cream really didn't stick out in my opinion and yet again the texture was not my thing.",FALSE,"judgement :: negative"
,,"One of the best ice cream I've ever had.",TRUE,"judgement :: positive"
,,"All organic with no dyes or additive, all natural, vegan, with seasonal flavors (best pumkin soft serve ever) and decadent, it is sinful that's how good this ice cream is.",TRUE,"fact :: practical"
,,"Try everything, take pints home to go, you will love this place!",TRUE,"fact :: practical :: advice"
,,"This place is not closed, so I'm not sure what to make of it...",FALSE,"(none)"
,,"I guess it is October... and I guess hauntings are frequent this time of year...",FALSE,"(none)"
,,"But no seriously, this place isn't closed.",FALSE,"(none)"
"#Native Bean",0.60,"I was there on Saturday Night.",FALSE,"(none)"
"#Native Bean",0.60,"There were 4 of us, and I got the vegan peanut butter and banana ice cream with a splash of coconut vegan whipped cream with an organically compostable cherry on top, served in a biodegradable cup and spoon.",FALSE,"fact :: practical"
,,"My co-diners got, respectively, mint chip, cookies and cream, and apple cider-something or other.",FALSE,"fact :: practical"
,,"Mine was delicious, yet heavy.",FALSE,"(none)"
,,"You'd have no idea this wasn't ""ice cream"".",TRUE,"fact :: practical"
,,"The mint chip was really minty and refreshing.",TRUE,"judgement :: positive"
,,"The cookies and cream tasted like.... cookies and cream.",TRUE,"judgement :: positive"
,,"But the Apple Cider... oh man, that apple cider was just fall in a cup.",TRUE,"judgement :: positive"
,,"It was so refreshing and delicious!",FALSE,"(none)"
,,"I was about to steal it from my friend, but that'd be mean.",FALSE,"(none)"
,,"The Apothecary is adorable, reminiscent of an age that I wasn't alive to be part of.",FALSE,"(none)"
,,"But I've seen movies.",FALSE,"(none)"
,,"And I love the word ""apothecary"".",FALSE,"(none)"
,,"We need more apothecaries, but I guess we no longer need them, with Obamacare.",FALSE,"(none)"
,,"Service is fast and pleasant, if you ever need some vegan ice cream, now you know where to go!",TRUE,"judgement :: positive"
,,"But remember, this place is cash only!",TRUE,"fact :: practical :: alert"
,,"Lulu's just changed owners, now they go by another name but the quality is still the same (one of the co-owners took over).",TRUE,"fact :: trivia"
,,"If you're looking for vegan ice cream, this is THE place to try.",TRUE,"fact :: practical :: advice"
,,"There are several options for vegan based ice creams (soy, almond, coconut milk and the like), Lulu's is cashew-based and just delicious.",TRUE,"fact :: practical"
,,"Depending on whether you're looking for standard or more exotic flavors, I would definitely recommend pairing their the chocolate and almond ice creams.",FALSE,"fact :: practical :: advice"
,,"I thought the ginger cookie could've been stronger on the ginger, but then not everybody loves ginger as much as I do.",FALSE,"judgement"
,,"Look, there's hardly any seating and they only take cash.",TRUE,"fact :: practical :: alert"
,,"SUCK IT UP.",FALSE,"(none)"
,,"Otherwise, everything else everyone said x2109487824935709281341.",FALSE,"(none)"
,,"This place is heaven in tangible form.",TRUE,"judgement :: positive"
,,"I came here before in search of some vegan ice cream but they were closed down.",FALSE,"(none)"
,,"And based off the conversation the owner(?) was having with someone, they are struggling with city protocol or something.",FALSE,"(none)"
,,"In fact I thought it was a bit unprofessional and rude to be having a personal conversation while helping customers.",FALSE,"(none)"
,,"And the way she talked to her worker rubbed me the wrong way--it was very polite-condescending-scolding.",FALSE,"(none)"
,,"I dunno I just felt uncomfortable.",FALSE,"(none)"
,,"The nice worker gave me hardy samples on silver spoons(!) and then dished out a nice helping of peanut butter chip ice cream for me.",FALSE,"judgement :: positive"
,,"Peanut Butter Chip Sundae (brownie and hot fudge) Oh my this peanut butter ice cream is so delicious.",FALSE,"judgement :: positive"
,,"Tastes just like cookie dough but frozen.",FALSE,"(none)"
,,"So much flavor.",FALSE,"(none)"
,,"The brownie, however, is dry and lacks flavor.",FALSE,"judgement :: negative"
,,"Gross, actually.",FALSE,"(none)"
"#Cafe Pick Me Up",0.60,"The hot fudge is nice and rich.",TRUE,"judgement :: positive"
"#Cafe Pick Me Up",0.60,"Maple and Waffles Ice Cream: The maple is a bit too strong to the point that it's not even sweet anymore.",TRUE,"judgement :: negative"
,,"FINAL VERDICT: this may be one of the best peanut butter ice creams in the city and it's a cute little shop.",TRUE,"judgement :: positive"
,,"This place is so small & cute!!",TRUE,"judgement :: positive"
,,"Vegan Banana Splits to DIE for!!",TRUE,"judgement :: positive"
,,"Hot Fudge, Marshmallow & cherry on top !",FALSE,"(none)"
"#Cafe Pick Me Up",0.80,"Tastiest waffle cones & Antique candy jars filled with toppings!!",TRUE,"judgement :: positive"
"#Cafe Pick Me Up",0.40,"So many to choose from!",FALSE,"(none)"
,,"I absolutely love this place!",FALSE,"judgement :: positive"
,,"Desserts for days!",TRUE,"(none)"
,,"I don't care that the cashier was snobby & it was cash only!!",FALSE,"fact :: practical :: alert"
,,"It's all worth that sweet creamy yummy delish-ness!",TRUE,"judgement :: positive"
,,"Best vegan ice cream I've ever eaten.",FALSE,"judgement :: positive"
,,"And, believe me, I've eaten a lot. ;)",FALSE,"(none)"
,,"Everything in this place is perfect, the ice cream, the service, the decor, the music, EVERYTHING.",TRUE,"judgement :: positive"
,,"Best ice cream I've had in New York, vegan or not.",FALSE,"judgement :: positive"
,,"Don't miss this place, it's awesome!",TRUE,"judgement :: positive"
,,"Best tasting Vegan Ice Cream in the city.",TRUE,"judgement :: positive"
,,"Great staff and owner.",TRUE,"judgement :: positive"
"#Cafe Pick Me Up",1.00,"Seasonal flavors are a must try, but cookies & cream and Strawberry are always great!",TRUE,"fact :: practical :: advice"
,,"Sorry for this late Update: Vegan Ice Cream with all the bells & whistles. . . . .IS BACK!!!!!",FALSE,"(none)"
,,"I have made several trips & enjoyed every single last one. :-)",FALSE,"(none)"
,,"My favorite vegan Ice cream shop is currently nameless (for now) & opened!",FALSE,"(none)"
,,"You need to make a trip down, taste this goodness & get a pint to go!",FALSE,"(none)"
,,"The owner is too nice & she has an amazing staff backing her up.",TRUE,"judgement :: positive"
,,"They are so helpful & eager to assist.",FALSE,"judgement :: positive"
,,"Deelish!",FALSE,"judgement :: positive"
"#Cafe Pick Me Up",0.80,"Even in the dead of winter, it's hard to resist ducking in here.",FALSE,"(none)"
,,"Their ice cream is truly delicious.",FALSE,"judgement :: positive"
,,"This place inspired me to buy an ice cream maker, because it made me realize that homemade ice cream (vegan or not) is infinitely better than storebought--but I still couldn't make all the interesting flavors they have at Lula's.",FALSE,"(none)"
,,"The atmosphere is nice--it's a little storefront, the definition of quaint, and they also have delicious non-dairy chocolate bars and other treats for sale.",TRUE,"judgement :: positive"
,,"The people who work here are always friendly.",TRUE,"judgement :: positive"
,,"It's definitely worth a visit if you're in the neighborhood, and a must-try if you're vegan and visiting NYC.",TRUE,"judgement :: positive"
,,"When you have to ask the guy behind the register 3 times if they are SURE there is no milk in that amazingly creamy, flavorful scoop of ambrosia....you know they've hit the jack-pot!",FALSE,"(none)"
,,"It is by far the BEST Vegan Ice Cream I've EVER had EVER!!",TRUE,"judgement :: positive"
,,"Full stop!",FALSE,"(none)"
,,"Need not be vegan or lactose intolerant.",FALSE,"(none)"
,,"There's delicious ice cream, for everyone at Lula's.",TRUE,"fact :: practical"
,,"The creamy cashew base makes for a dessert you can rarely find elsewhere.",TRUE,"fact :: practical"
,,"Lula's is one of those NYC must visits.",TRUE,"judgement :: positive"
,,"The best vegan ice cream shop ever.",TRUE,"judgement :: positive"
,,"They always have the best flavors and make great shakes.",FALSE,"judgement :: positive"
,,"The soft serve is always on point, especially when they have the pumpkin one.",TRUE,"judgement :: positive"
,,"Plus they always play rad old west swing tunes.",FALSE,"judgement :: positive"
,,"Lula's Apothecary is, no joke, one of the main reasons I moved to NYC in the first place.",FALSE,"(none)"
,,"And it lived up to its name.",FALSE,"(none)"
,,"Back when I was vegan (and even after I became a regular ol' vegetarian), I loved frequenting this place.",FALSE,"(none)"
,,"Wailing when it was closed occasionally in the throes of NYC summer.",FALSE,"(none)"
